iter,acc,nmi,ari,loss
0,0.86061,0.80122,0.76822,0
140,0.8643,0.80612,0.77644,0.04507
280,0.86781,0.8155,0.78633,0.15811
420,0.87016,0.82254,0.79317,0.2085
560,0.87164,0.82777,0.79837,0.21959
700,0.87189,0.8303,0.80085,0.21515
840,0.87183,0.83146,0.80182,0.20975
980,0.87197,0.83286,0.80306,0.20371
1120,0.87227,0.83417,0.80443,0.20007
1260,0.87213,0.83535,0.80506,0.20058
1400,0.87271,0.83662,0.80673,0.19085
1540,0.87211,0.8367,0.80634,0.18053
1680,0.87237,0.83757,0.80737,0.17708
1820,0.87224,0.83841,0.80776,0.18254
1960,0.87166,0.83785,0.8073,0.17001
2100,0.87197,0.83924,0.80837,0.16854
2240,0.87164,0.83883,0.80807,0.16639
2380,0.87209,0.84011,0.80926,0.16399
2520,0.87159,0.83958,0.80861,0.16024
2660,0.87166,0.84044,0.8093,0.1657
2800,0.8716,0.84046,0.80931,0.15766
2940,0.87167,0.8411,0.80976,0.15102
3080,0.87137,0.84074,0.80937,0.15036
3220,0.87159,0.84135,0.80987,0.1433
3360,0.87157,0.84178,0.81029,0.13975
3500,0.87174,0.84204,0.81048,0.14354
3640,0.87176,0.84219,0.81073,0.13765
3780,0.87163,0.84186,0.81032,0.13265
3920,0.87179,0.8423,0.81082,0.13417
4060,0.87149,0.84186,0.81011,0.13212
4200,0.87177,0.84226,0.81073,0.1292
4340,0.87147,0.84202,0.81003,0.12669
4480,0.87173,0.84233,0.81066,0.12397
4620,0.87144,0.8421,0.81,0.12868
4760,0.87183,0.84243,0.81082,0.12667
4900,0.87176,0.84238,0.81061,0.12588
5040,0.87186,0.8425,0.81097,0.11926
5180,0.87194,0.84274,0.81113,0.12185
5320,0.87194,0.84274,0.81119,0.12276
5460,0.87206,0.84281,0.81132,0.12275
5600,0.87194,0.84266,0.81102,0.11929
5740,0.872,0.84265,0.81119,0.10839
5880,0.87206,0.84299,0.81123,0.11521
6020,0.87197,0.84269,0.81108,0.11423
6160,0.87211,0.84305,0.81114,0.10991
6300,0.87207,0.84296,0.81126,0.10574
6440,0.87216,0.84325,0.81135,0.10471
6580,0.87206,0.84307,0.81137,0.10673
6720,0.87204,0.84309,0.81121,0.10724
6860,0.87221,0.84336,0.81161,0.09981
