iter,acc,nmi,ari,L,Lc,Lr
0,0.81019,0.74705,0.69772,0,0,0
140,0.82323,0.7631,0.71936,0.01996,0.04343,0.01561
280,0.82946,0.77749,0.73215,0.03449,0.11032,0.02346
420,0.83479,0.78606,0.74335,0.03624,0.15117,0.02112
560,0.83647,0.79177,0.74777,0.03978,0.182,0.02158
700,0.83846,0.79598,0.75175,0.03693,0.17586,0.01934
840,0.83979,0.79853,0.75432,0.03648,0.17626,0.01885
980,0.83971,0.79781,0.75392,0.03528,0.16812,0.01847
1120,0.84109,0.79971,0.75678,0.03438,0.16021,0.01836
1260,0.84173,0.80081,0.75738,0.03346,0.15517,0.01794
1400,0.84171,0.80095,0.75712,0.03304,0.15458,0.01758
1540,0.84136,0.80028,0.75599,0.03048,0.13292,0.01719
1680,0.84086,0.7991,0.75487,0.02892,0.12568,0.01635
1820,0.84154,0.80007,0.75601,0.03138,0.13277,0.01811
1960,0.84176,0.80023,0.75665,0.02803,0.11858,0.01618
2100,0.84206,0.80119,0.75722,0.02897,0.11726,0.01725
2240,0.84247,0.80162,0.75806,0.02728,0.11406,0.01588
2380,0.84227,0.80171,0.75762,0.02755,0.11403,0.01614
2520,0.8424,0.80162,0.75738,0.02636,0.10242,0.01611
2660,0.84231,0.80111,0.75718,0.02841,0.10846,0.01757
2800,0.84239,0.80074,0.75734,0.0261,0.10371,0.01573
2940,0.84339,0.80208,0.75924,0.02479,0.10143,0.01464
3080,0.84379,0.80225,0.75952,0.02622,0.09874,0.01635
3220,0.84163,0.80091,0.75608,0.02279,0.08473,0.01431
3360,0.84203,0.80124,0.75689,0.02461,0.10331,0.01427
3500,0.84303,0.80189,0.75817,0.0242,0.08891,0.01531
3640,0.84277,0.80106,0.75732,0.02536,0.09324,0.01603
3780,0.84374,0.80222,0.75887,0.02342,0.07733,0.01569
3920,0.84403,0.80246,0.7596,0.0221,0.07428,0.01467
4060,0.84334,0.80196,0.75866,0.02238,0.07719,0.01466
4200,0.84259,0.80092,0.75699,0.02272,0.0771,0.01501
4340,0.84209,0.80001,0.75571,0.02138,0.06898,0.01448
4480,0.84209,0.80013,0.75573,0.02224,0.06971,0.01527
4620,0.84304,0.80137,0.7576,0.0213,0.0666,0.01464
4760,0.8431,0.80173,0.75797,0.02246,0.07509,0.01495
4900,0.84317,0.80199,0.75864,0.02363,0.08695,0.01494
5040,0.84329,0.80202,0.75862,0.02202,0.06844,0.01518
5180,0.84359,0.80262,0.75922,0.02041,0.06292,0.01412
5320,0.84453,0.80338,0.76065,0.02357,0.07148,0.01642
5460,0.84393,0.80265,0.75955,0.02036,0.06946,0.01342
5600,0.84443,0.80301,0.76004,0.02347,0.08196,0.01527
5740,0.84413,0.80255,0.75932,0.01973,0.06154,0.01358
5880,0.84387,0.802,0.75883,0.02216,0.0625,0.01591
6020,0.84366,0.80199,0.75861,0.02149,0.07052,0.01443
6160,0.8443,0.80291,0.75998,0.01975,0.05377,0.01438
6300,0.84439,0.80318,0.76031,0.02325,0.07297,0.01595
6440,0.84434,0.80291,0.76012,0.01876,0.05257,0.0135
6580,0.84463,0.80315,0.76042,0.02106,0.06199,0.01486
6720,0.84476,0.80369,0.76107,0.02235,0.08198,0.01415
6860,0.84491,0.80368,0.76089,0.01938,0.05275,0.01411
7000,0.8447,0.80355,0.76065,0.02066,0.04937,0.01572
7140,0.84489,0.80361,0.76083,0.01961,0.05406,0.01421
7280,0.84487,0.80373,0.76109,0.02081,0.05902,0.0149
