iter,acc,nmi,ari,loss
0,0.91139,0.81936,0.81154,0
140,0.92041,0.82968,0.83216,0.04584
280,0.93384,0.85111,0.8598,0.15813
420,0.94134,0.86394,0.87538,0.21141
560,0.94649,0.8735,0.8861,0.21826
700,0.94977,0.87934,0.89294,0.21459
840,0.95249,0.88461,0.89859,0.21172
980,0.95374,0.88698,0.90122,0.20839
1120,0.95559,0.89062,0.90502,0.19939
1260,0.95643,0.89231,0.90679,0.19971
1400,0.95729,0.89427,0.90856,0.19276
1540,0.95787,0.8955,0.90984,0.18301
1680,0.9585,0.89687,0.91111,0.17583
1820,0.95894,0.89772,0.91203,0.18073
1960,0.95949,0.89899,0.91317,0.16781
2100,0.95956,0.89908,0.91331,0.17117
2240,0.95986,0.89981,0.91395,0.16798
2380,0.96003,0.90017,0.91427,0.16591
2520,0.96043,0.90109,0.91512,0.1634
2660,0.9603,0.90093,0.91486,0.16539
2800,0.96066,0.9016,0.9156,0.15702
2940,0.96047,0.90135,0.91522,0.14649
3080,0.96079,0.90202,0.91586,0.15357
3220,0.96043,0.90136,0.91515,0.14135
3360,0.96074,0.90202,0.91578,0.1404
3500,0.96061,0.90185,0.91554,0.14457
3640,0.9605,0.90164,0.91526,0.13801
3780,0.96081,0.90241,0.91594,0.13221
3920,0.96074,0.90215,0.91577,0.13686
4060,0.96103,0.90278,0.91637,0.13687
4200,0.96084,0.90249,0.91599,0.12293
4340,0.96096,0.90269,0.91624,0.12693
4480,0.96091,0.90258,0.91615,0.12471
4620,0.9612,0.90313,0.91677,0.12926
4760,0.96121,0.90328,0.91678,0.12771
4900,0.96151,0.90382,0.9174,0.12736
5040,0.96137,0.9036,0.91711,0.12224
5180,0.9617,0.90415,0.91776,0.1211
5320,0.9614,0.90362,0.91716,0.12218
