iter,acc,nmi,ari,L,Lc,Lr
0,0.49913,0.56253,0.38478,0,0,0
140,0.50501,0.57888,0.39937,0.01965,0.04375,0.01527
280,0.51351,0.58966,0.41014,0.02542,0.09214,0.0162
420,0.51687,0.59321,0.41386,0.02977,0.12374,0.01739
560,0.51654,0.59464,0.41496,0.02827,0.11885,0.01639
700,0.51587,0.59439,0.41462,0.02841,0.12099,0.01631
840,0.51553,0.59396,0.41396,0.02949,0.12464,0.01703
980,0.51761,0.5944,0.41526,0.02752,0.11183,0.01634
1120,0.51841,0.59385,0.41442,0.02693,0.10606,0.01632
1260,0.51977,0.59404,0.41525,0.02922,0.13002,0.01622
1400,0.51884,0.59423,0.41485,0.02788,0.1099,0.01689
1540,0.51854,0.59458,0.41505,0.02553,0.10178,0.01536
1680,0.51647,0.59406,0.41437,0.0246,0.09552,0.01505
1820,0.51583,0.59405,0.41327,0.02578,0.10097,0.01568
1960,0.51591,0.59402,0.41353,0.02394,0.08443,0.0155
2100,0.51704,0.59459,0.41357,0.02239,0.08983,0.01341
2240,0.51639,0.59528,0.41389,0.02549,0.09968,0.01552
2380,0.517,0.596,0.4152,0.02215,0.07235,0.01492
2520,0.51711,0.59641,0.41586,0.02498,0.10104,0.01487
2660,0.51626,0.59591,0.41576,0.02388,0.08692,0.01519
2800,0.51679,0.59552,0.41565,0.02251,0.07775,0.01474
2940,0.5164,0.59596,0.41555,0.02625,0.09808,0.01644
3080,0.51803,0.59553,0.41548,0.0258,0.10047,0.01575
3220,0.51727,0.59689,0.41601,0.02478,0.0741,0.01737
3360,0.5156,0.59597,0.41535,0.02693,0.12098,0.01483
3500,0.51733,0.59589,0.41575,0.02224,0.06642,0.0156
3640,0.51683,0.5964,0.41607,0.02272,0.07047,0.01567
3780,0.51833,0.59739,0.41729,0.02046,0.06474,0.01399
3920,0.51673,0.59748,0.4176,0.02248,0.07377,0.0151
4060,0.51691,0.59688,0.41673,0.02095,0.06012,0.01494
4200,0.51761,0.59741,0.41782,0.01901,0.05826,0.01319
4340,0.51724,0.59678,0.41784,0.02045,0.06267,0.01418
4480,0.51684,0.59676,0.41742,0.01962,0.05804,0.01381
4620,0.51636,0.59642,0.417,0.02111,0.0805,0.01306
4760,0.51576,0.59568,0.41758,0.02277,0.08537,0.01424
4900,0.51479,0.5962,0.41804,0.01964,0.06994,0.01265
5040,0.51533,0.59721,0.41827,0.02203,0.07084,0.01494
5180,0.5162,0.59651,0.41796,0.02133,0.06778,0.01455
5320,0.51583,0.59626,0.4175,0.01992,0.06374,0.01354
5460,0.51547,0.59548,0.41732,0.01904,0.05191,0.01385
5600,0.51876,0.59668,0.41803,0.02336,0.08605,0.01475
5740,0.51976,0.59603,0.41801,0.01883,0.05943,0.01289
5880,0.5188,0.59547,0.41782,0.01908,0.05213,0.01386
6020,0.51739,0.59493,0.41698,0.0187,0.05329,0.01337
6160,0.51757,0.59453,0.4161,0.0185,0.04346,0.01415
6300,0.51836,0.59447,0.41599,0.01997,0.06047,0.01393
6440,0.51739,0.59392,0.4153,0.02139,0.06404,0.01499
6580,0.51687,0.59347,0.41488,0.01656,0.03979,0.01258
6720,0.5174,0.59366,0.41474,0.0182,0.05202,0.013
6860,0.51667,0.59389,0.41487,0.01952,0.05623,0.0139
7000,0.51484,0.5931,0.4131,0.01729,0.03992,0.01329
7140,0.51471,0.59242,0.41292,0.01808,0.04907,0.01317
7280,0.51434,0.59341,0.41374,0.01772,0.04358,0.01336
7420,0.51331,0.59359,0.41386,0.01896,0.05268,0.0137
7560,0.51399,0.5945,0.41514,0.01857,0.05111,0.01345
7700,0.51434,0.59423,0.41521,0.02006,0.0692,0.01314
7840,0.5138,0.59375,0.41434,0.01754,0.04771,0.01277
7980,0.51387,0.59357,0.41441,0.01883,0.05421,0.01341
8120,0.51361,0.59335,0.4142,0.01736,0.04068,0.01329
8260,0.51324,0.59342,0.41408,0.02095,0.0774,0.01321
8400,0.51283,0.59414,0.41361,0.01923,0.05948,0.01328
8540,0.51196,0.59381,0.4136,0.01871,0.04563,0.01414
8680,0.5115,0.59345,0.41393,0.0171,0.03972,0.01313
8820,0.51236,0.59421,0.41483,0.01679,0.04575,0.01221
8960,0.51277,0.59518,0.4156,0.01909,0.06474,0.01261
9100,0.51273,0.59475,0.4153,0.0162,0.03584,0.01261
9240,0.51291,0.59494,0.41526,0.01953,0.06845,0.01269
9380,0.51291,0.59438,0.41543,0.01619,0.04086,0.0121
9520,0.51387,0.59462,0.41594,0.01624,0.03928,0.01232
9660,0.5141,0.59469,0.41619,0.01717,0.0424,0.01293
9800,0.5123,0.5936,0.41507,0.01815,0.04838,0.01331
9940,0.51194,0.59304,0.41439,0.01936,0.07255,0.01211
10080,0.51143,0.59308,0.41432,0.017,0.03785,0.01321
10220,0.5119,0.59313,0.41463,0.015,0.0312,0.01188
10360,0.51149,0.59291,0.4143,0.01688,0.04268,0.01261
10500,0.51174,0.59274,0.41415,0.01557,0.03016,0.01255
10640,0.5123,0.59253,0.41378,0.01845,0.05262,0.01319
10780,0.51203,0.59185,0.4129,0.01866,0.05551,0.01311
10920,0.51187,0.59182,0.41294,0.01601,0.03695,0.01232
11060,0.51179,0.59163,0.41299,0.01673,0.03417,0.01331
11200,0.51267,0.59209,0.41332,0.01622,0.03839,0.01238
11340,0.51311,0.5917,0.413,0.01619,0.03403,0.01278
11480,0.5139,0.59136,0.41254,0.01562,0.03068,0.01255
11620,0.51263,0.59041,0.41145,0.01569,0.03161,0.01253
11760,0.51311,0.59004,0.41147,0.01923,0.05842,0.01339
11900,0.51356,0.59081,0.41271,0.01478,0.03357,0.01142
12040,0.51353,0.59127,0.41276,0.01629,0.03789,0.0125
12180,0.51297,0.59121,0.41252,0.01588,0.04006,0.01187
12320,0.5142,0.59122,0.41251,0.01621,0.03061,0.01315
12460,0.51516,0.59073,0.4127,0.01532,0.03283,0.01203
12600,0.5159,0.59163,0.41386,0.01707,0.03674,0.0134
12740,0.51537,0.59165,0.41388,0.01781,0.05822,0.01199
12880,0.51477,0.59082,0.41319,0.01726,0.04802,0.01245
